,album
988,My Beautiful Dark Twisted Fantasy
989,ZUU
990,Eternal Atake (Deluxe) - LUV vs. The World 2
991,Hoodie SZN
992,DS2 (Deluxe)
993,Death Race For Love
994,COSMIC
995,Die A Legend
996,Evil Genius
997,QUARANTINE CLEAN
998,ASTROWORLD
999,Stories
1000,So Far Gone
1001,Die A Legend
1002,Silence
1003,
1004,Drop (feat. Blac Youngsta & BlocBoy JB)
1005,Eternal Atake
1006,!
1007,Project Baby 2: All Grown Up (Deluxe Edition)
1008,Legends Never Die
1009,Put a Date On It (feat. Lil Baby)
1010,I Know You (feat. Yung Pinch)
1011,Death Race For Love
1012,Netizen
1013,Dying to Live
1014,Luv Is Rage 2
1015,Blind For Love2
1016,Sli'merre
1017,#SantanaWorld (+)
1018,Luv Is Rage
1019,Drip or Drown 2
1020,Turks
1021,ASTROWORLD
1022,Rodeo (Expanded Edition)
1023,Playboi Carti
1024,"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)"
1025,DAMN.
1026,AT.LONG.LAST.A$AP
1027,HNDRXX
1028,A Written Testimony
1029,SAVAGE MODE II
1030,ZUU
1031,Tha Carter IV
1032,SAVE ME
1033,Bawskee
1034,Artist 2.0
1035,Rodeo (Expanded Edition)
1036,Pharmacy
1037,CrasH Talk
1038,Sli'merre
1039,Revenge Of The Dreamers III
1040,Rodeo (Expanded Edition)
1041,SKINS
1042,Birds In The Trap Sing McKnight
1043,beerbongs & bentleys
1044,Realer
1045,"100 Bands (feat. Quavo, 21 Savage, YG & Meek Mill)"
1046,The Lost Boy
1047,COSMIC
1048,True
1049,Killamonjaro
1050,Meet The Woo 2
1051,Hard (feat. Tay-K and BlocBoy JB)
1052,Cayendo (Side A - Acoustic)
1053,Revenge
1054,For A While
1055,So Much Fun (Deluxe)
1056,Eternal Atake
1057,First Time
1058,4REAL 4REAL
1059,Suncity
1060,Rodeo (Expanded Edition)
1061,LONG.LIVE.A$AP (Deluxe Version)
1062,Without Warning
1063,RECKLESS
1064,Eternal Atake
1065,The Slow Rush
1066,Levels
1067,Pharmacy
1068,Forever
1069,JESUS IS KING
1070,Please Me
1071,Die A Legend
1072,Nephew (feat. Lil Pump)
1073,Magnets EP
1074,Emergency Tsunami
1075,My Turn
1076,OG Bobby Johnson
1077,QUAVO HUNCHO
1078,QUAVO HUNCHO
1079,Supermarket (Soundtrack)
1080,Future & Juice WRLD Present... WRLD ON DRUGS
1081,For The Throne (Music Inspired by the HBO Series Game of Thrones)
1082,Sli'merre
1083,World Rage
1084,Lil Uzi Vert vs. The World
1085,Tyler Herro
1086,Tha Carter V
1087,Who Want The Smoke?
1088,Light of Mine (Deluxe)
1089,CrasH Talk
1090,Certified Hitmaker
1091,Drip or Drown 2
1092,Please Excuse Me for Being Antisocial
1093,Die A Legend
